Dex Num,Name,Types,Abilities,HP,ATTACK,DEFENSE,S. ATTACK,S. DEFENSE,SPEED
#001,Bulbasaur,"['grass', 'poison']",Overgrow Chlorophyll,45,49,49,65,65,45
#002,Ivysaur,"['grass', 'poison']",Overgrow Chlorophyll,60,62,63,80,80,60
#003,Venusaur,"['grass', 'poison']",Overgrow Chlorophyll,80,82,83,100,100,80
#004,Charmander,['fire'],Blaze Solar Power,39,52,43,60,50,65
#005,Charmeleon,['fire'],Blaze Solar Power,58,64,58,80,65,80
#006,Charizard,"['fire', 'flying']",Blaze Solar Power,78,84,78,109,85,100
#007,Squirtle,['water'],Torrent Rain Dish,44,48,65,50,64,43
#008,Wartortle,['water'],Torrent Rain Dish,59,63,80,65,80,58
#009,Blastoise,['water'],Torrent Rain Dish,79,83,100,85,105,78
#010,Caterpie,['bug'],Shield Dust Run Away,45,30,35,20,20,45
#011,Metapod,['bug'],Shed Skin ,50,20,55,25,25,30
#012,Butterfree,"['bug', 'flying']",Compoundeyes Tinted Lens,60,45,50,90,80,70
#013,Weedle,"['bug', 'poison']",Shield Dust Run Away,40,35,30,20,20,50
#014,Kakuna,"['bug', 'poison']",Shed Skin ,45,25,50,25,25,35
#015,Beedrill,"['bug', 'poison']",Swarm Sniper,65,90,40,45,80,75
#016,Pidgey,"['normal', 'flying']",Keen Eye Tangled Feet Big Pecks,40,45,40,35,35,56
#017,Pidgeotto,"['normal', 'flying']",Keen Eye Tangled Feet Big Pecks,63,60,55,50,50,71
#018,Pidgeot,"['normal', 'flying']",Keen Eye Tangled Feet Big Pecks,83,80,75,70,70,101
#019,Rattata,['normal'],Run Away Guts Hustle,30,56,35,25,35,72
#020,Raticate,['normal'],Run Away Guts Hustle,55,81,60,50,70,97
#021,Spearow,"['normal', 'flying']",Keen Eye Sniper,40,60,30,31,31,70
#022,Fearow,"['normal', 'flying']",Keen Eye Sniper,65,90,65,61,61,100
#023,Ekans,['poison'],Intimidate Shed Skin Unnerve,35,60,44,40,54,55
#024,Arbok,['poison'],Intimidate Shed Skin Unnerve,60,95,69,65,79,80
#025,Pikachu,['electric'],Static Lightning Rod,35,55,40,50,50,90
#026,Raichu,['electric'],Static Lightning Rod,60,90,55,90,80,110
#027,Sandshrew,['ground'],Sand Veil Sand Rush,50,75,85,20,30,40
#028,Sandslash,['ground'],Sand Veil Sand Rush,75,100,110,45,55,65
#029,Nidoran♀,['poison'],Poison Point Rivalry Hustle,55,47,52,40,40,41
#030,Nidorina,['poison'],Poison Point Rivalry Hustle,70,62,67,55,55,56
#031,Nidoqueen,"['poison', 'ground']",Poison Point Rivalry Sheer Force,90,92,87,75,85,76
#032,Nidoran♂,['poison'],Poison Point Rivalry Hustle,46,57,40,40,40,50
#033,Nidorino,['poison'],Poison Point Rivalry Hustle,61,72,57,55,55,65
#034,Nidoking,"['poison', 'ground']",Poison Point Rivalry Sheer Force,81,102,77,85,75,85
#035,Clefairy,['fairy'],Cute Charm Magic Guard Friend Guard,70,45,48,60,65,35
#036,Clefable,['fairy'],Cute Charm Magic Guard Unaware,95,70,73,95,90,60
#037,Vulpix,['fire'],Flash Fire Drought,38,41,40,50,65,65
#038,Ninetales,['fire'],Flash Fire Drought,73,76,75,81,100,100
#039,Jigglypuff,"['normal', 'fairy']",Cute Charm Competitive Friend Guard,115,45,20,45,25,20
#040,Wigglytuff,"['normal', 'fairy']",Cute Charm Competitive Frisk,140,70,45,85,50,45
#041,Zubat,"['poison', 'flying']",Inner Focus Infiltrator,40,45,35,30,40,55
#042,Golbat,"['poison', 'flying']",Inner Focus Infiltrator,75,80,70,65,75,90
#043,Oddish,"['grass', 'poison']",Chlorophyll Run Away,45,50,55,75,65,30
#044,Gloom,"['grass', 'poison']",Chlorophyll Stench,60,65,70,85,75,40
#045,Vileplume,"['grass', 'poison']",Chlorophyll Effect Spore,75,80,85,110,90,50
#046,Paras,"['bug', 'grass']",Effect Spore Dry Skin Damp,35,70,55,45,55,25
#047,Parasect,"['bug', 'grass']",Effect Spore Dry Skin Damp,60,95,80,60,80,30
#048,Venonat,"['bug', 'poison']",Compoundeyes Tinted Lens Run Away,60,55,50,40,55,45
#049,Venomoth,"['bug', 'poison']",Shield Dust Tinted Lens Wonder Skin ,70,65,60,90,75,90
#050,Diglett,['ground'],Sand Veil Arena Trap Sand Force,10,55,25,35,45,95
#051,Dugtrio,['ground'],Sand Veil Arena Trap Sand Force,35,100,50,50,70,120
#052,Meowth,['normal'],Pickup Technician Unnerve,40,45,35,40,40,90
#053,Persian,['normal'],Limber Technician Unnerve,65,70,60,65,65,115
#054,Psyduck,['water'],Damp Cloud Nine Swift Swim,50,52,48,65,50,55
#055,Golduck,['water'],Damp Cloud Nine Swift Swim,80,82,78,95,80,85
#056,Mankey,['fighting'],Vital Spirit Anger Point Defiant,40,80,35,35,45,70
#057,Primeape,['fighting'],Vital Spirit Anger Point Defiant,65,105,60,60,70,95
#058,Growlithe,['fire'],Intimidate Flash Fire Justified,55,70,45,70,50,60
#059,Arcanine,['fire'],Intimidate Flash Fire Justified,90,110,80,100,80,95
#060,Poliwag,['water'],Water Absorb Damp Swift Swim,40,50,40,40,40,90
#061,Poliwhirl,['water'],Water Absorb Damp Swift Swim,65,65,65,50,50,90
#062,Poliwrath,"['water', 'fighting']",Water Absorb Damp Swift Swim,90,95,95,70,90,70
#063,Abra,['psychic'],Synchronize Inner Focus Magic Guard,25,20,15,105,55,90
#064,Kadabra,['psychic'],Synchronize Inner Focus Magic Guard,40,35,30,120,70,105
#065,Alakazam,['psychic'],Synchronize Inner Focus Magic Guard,55,50,45,135,95,120
#066,Machop,['fighting'],Guts No Guard Steadfast,70,80,50,35,35,35
#067,Machoke,['fighting'],Guts No Guard Steadfast,80,100,70,50,60,45
#068,Machamp,['fighting'],Guts No Guard Steadfast,90,130,80,65,85,55
#069,Bellsprout,"['grass', 'poison']",Chlorophyll Gluttony,50,75,35,70,30,40
#070,Weepinbell,"['grass', 'poison']",Chlorophyll Gluttony,65,90,50,85,45,55
#071,Victreebel,"['grass', 'poison']",Chlorophyll Gluttony,80,105,65,100,70,70
#072,Tentacool,"['water', 'poison']",Clear Body Liquid Ooze Rain Dish,40,40,35,50,100,70
#073,Tentacruel,"['water', 'poison']",Clear Body Liquid Ooze Rain Dish,80,70,65,80,120,100
#074,Geodude,"['rock', 'ground']",Rock Head Sturdy Sand Veil,40,80,100,30,30,20
#075,Graveler,"['rock', 'ground']",Rock Head Sturdy Sand Veil,55,95,115,45,45,35
#076,Golem,"['rock', 'ground']",Rock Head Sturdy Sand Veil,80,120,130,55,65,45
#077,Ponyta,['fire'],Run Away Flash Fire Flame Body,50,85,55,65,65,90
#078,Rapidash,['fire'],Run Away Flash Fire Flame Body,65,100,70,80,80,105
#079,Slowpoke,"['water', 'psychic']",Oblivious Own Tempo Regenerator,90,65,65,40,40,15
#080,Slowbro,"['water', 'psychic']",Oblivious Own Tempo Regenerator,95,75,110,100,80,30
#081,Magnemite,"['electric', 'steel']",Magnet Pull Sturdy Analytic,25,35,70,95,55,45
#082,Magneton,"['electric', 'steel']",Magnet Pull Sturdy Analytic,50,60,95,120,70,70
#083,Farfetch'd,"['normal', 'flying']",Keen Eye Inner Focus Defiant,52,90,55,58,62,60
#084,Doduo,"['normal', 'flying']",Run Away Early Bird Tangled Feet,35,85,45,35,35,75
#085,Dodrio,"['normal', 'flying']",Run Away Early Bird Tangled Feet,60,110,70,60,60,110
#086,Seel,['water'],Thick Fat Hydration Ice Body,65,45,55,45,70,45
#087,Dewgong,"['water', 'ice ']",Thick Fat Hydration Ice Body,90,70,80,70,95,70
#088,Grimer,['poison'],Stench Sticky Hold Poison Touch,80,80,50,40,50,25
#089,Muk,['poison'],Stench Sticky Hold Poison Touch,105,105,75,65,100,50
#090,Shellder,['water'],Shell Armor Skill Link Overcoat,30,65,100,45,25,40
#091,Cloyster,"['water', 'ice ']",Shell Armor Skill Link Overcoat,50,95,180,85,45,70
#092,Gastly,"['ghost', 'poison']",Levitate ,30,35,30,100,35,80
#093,Haunter,"['ghost', 'poison']",Levitate ,45,50,45,115,55,95
#094,Gengar,"['ghost', 'poison']",Cursed Body ,60,65,60,130,75,110
#095,Onix,"['rock', 'ground']",Rock Head Sturdy Weak Armor,35,45,160,30,45,70
#096,Drowzee,['psychic'],Insomnia Forewarn Inner Focus,60,48,45,43,90,42
#097,Hypno,['psychic'],Insomnia Forewarn Inner Focus,85,73,70,73,115,67
#098,Krabby,['water'],Hyper Cutter Shell Armor Sheer Force,30,105,90,25,25,50
#099,Kingler,['water'],Hyper Cutter Shell Armor Sheer Force,55,130,115,50,50,75
#100,Voltorb,['electric'],Soundproof Static Aftermath,40,30,50,55,55,100
#101,Electrode,['electric'],Soundproof Static Aftermath,60,50,70,80,80,150
#102,Exeggcute,"['grass', 'psychic']",Chlorophyll Harvest,60,40,80,60,45,40
#103,Exeggutor,"['grass', 'psychic']",Chlorophyll Harvest,95,95,85,125,75,55
#104,Cubone,['ground'],Rock Head Lightning Rod Battle Armor,50,50,95,40,50,35
#105,Marowak,['ground'],Rock Head Lightning Rod Battle Armor,60,80,110,50,80,45
#106,Hitmonlee,['fighting'],Limber Reckless Unburden,50,120,53,35,110,87
#107,Hitmonchan,['fighting'],Keen Eye Iron Fist Inner Focus,50,105,79,35,110,76
#108,Lickitung,['normal'],Own Tempo Oblivious Cloud Nine,90,55,75,60,75,30
#109,Koffing,['poison'],Levitate Neutralizing Gas Stench,40,65,95,60,45,35
#110,Weezing,['poison'],Levitate Neutralizing Gas Stench,65,90,120,85,70,60
#111,Rhyhorn,"['ground', 'rock']",Lightning Rod Rock Head Reckless,80,85,95,30,30,25
#112,Rhydon,"['ground', 'rock']",Lightning Rod Rock Head Reckless,105,130,120,45,45,40
#113,Chansey,['normal'],Natural Cure Serene Grace Healer,250,5,5,35,105,50
#114,Tangela,['grass'],Chlorophyll Leaf Guard Regenerator,65,55,115,100,40,60
#115,Kangaskhan,['normal'],Early Bird Scrappy Inner Focus,105,95,80,40,80,90
#116,Horsea,['water'],Swift Swim Sniper Damp,30,40,70,70,25,60
#117,Seadra,['water'],Poison Point Sniper Damp,55,65,95,95,45,85
#118,Goldeen,['water'],Swift Swim Water Veil Lightning Rod,45,67,60,35,50,63
#119,Seaking,['water'],Swift Swim Water Veil Lightning Rod,80,92,65,65,80,68
#120,Staryu,['water'],Illuminate Natural Cure Analytic,30,45,55,70,55,85
#121,Starmie,"['water', 'psychic']",Illuminate Natural Cure Analytic,60,75,85,100,85,115
#122,Mr. Mime,"['psychic', 'fairy']",Soundproof Filter Technician,40,45,65,100,120,90
#123,Scyther,"['bug', 'flying']",Swarm Technician Steadfast,70,110,80,55,80,105
#124,Jynx,"['ice ', 'psychic']",Oblivious Forewarn Dry Skin,65,50,35,115,95,95
#125,Electabuzz,['electric'],Static Vital Spirit,65,83,57,95,85,105
#126,Magmar,['fire'],Flame Body Vital Spirit,65,95,57,100,85,93
#127,Pinsir,['bug'],Hyper Cutter Mold Breaker Moxie,65,125,100,55,70,85
#128,Tauros,['normal'],Intimidate Anger Point Sheer Force,75,100,95,40,70,110
#129,Magikarp,['water'],Swift Swim Rattled,20,10,55,15,20,80
#130,Gyarados,"['water', 'flying']",Intimidate Moxie,95,125,79,60,100,81
#131,Lapras,"['water', 'ice ']",Water Absorb Shell Armor Hydration,130,85,80,85,95,60
#132,Ditto,['normal'],Limber Imposter,48,48,48,48,48,48
#133,Eevee,['normal'],Run Away Adaptability Anticipation,55,55,50,45,65,55
#134,Vaporeon,['water'],Water Absorb Hydration,130,65,60,110,95,65
#135,Jolteon,['electric'],Volt Absorb Quick Feet,65,65,60,110,95,130
#136,Flareon,['fire'],Flash Fire Guts,65,130,60,95,110,65
#137,Porygon,['normal'],Trace Download Analytic,65,60,70,85,75,40
#138,Omanyte,"['rock', 'water']",Swift Swim Shell Armor Weak Armor,35,40,100,90,55,35
#139,Omastar,"['rock', 'water']",Swift Swim Shell Armor Weak Armor,70,60,125,115,70,55
#140,Kabuto,"['rock', 'water']",Swift Swim Battle Armor Weak Armor,30,80,90,55,45,55
#141,Kabutops,"['rock', 'water']",Swift Swim Battle Armor Weak Armor,60,115,105,65,70,80
#142,Aerodactyl,"['rock', 'flying']",Rock Head Pressure Unnerve,80,105,65,60,75,130
#143,Snorlax,['normal'],Immunity Thick Fat Gluttony,160,110,65,65,110,30
#144,Articuno,"['ice ', 'flying']",Pressure Snow Cloak,90,85,100,95,125,85
#145,Zapdos,"['electric', 'flying']",Pressure Static,90,90,85,125,90,100
#146,Moltres,"['fire', 'flying']",Pressure Flame Body,90,100,90,125,85,90
#147,Dratini,['dragon'],Shed Skin Marvel Scale,41,64,45,50,50,50
#148,Dragonair,['dragon'],Shed Skin Marvel Scale,61,84,65,70,70,70
#149,Dragonite,"['dragon', 'flying']",Inner Focus Multiscale,91,134,95,100,100,80
#150,Mewtwo,['psychic'],Pressure Unnerve,106,110,90,154,90,130
#151,Mew,['psychic'],Synchronize ,100,100,100,100,100,100
#152,Chikorita,['grass'],Overgrow Leaf Guard,45,49,65,49,65,45
#153,Bayleef,['grass'],Overgrow Leaf Guard,60,62,80,63,80,60
#154,Meganium,['grass'],Overgrow Leaf Guard,80,82,100,83,100,80
#155,Cyndaquil,['fire'],Blaze Flash Fire,39,52,43,60,50,65
#156,Quilava,['fire'],Blaze Flash Fire,58,64,58,80,65,80
#157,Typhlosion,['fire'],Blaze Flash Fire,78,84,78,109,85,100
#158,Totodile,['water'],Torrent Sheer Force,50,65,64,44,48,43
#159,Croconaw,['water'],Torrent Sheer Force,65,80,80,59,63,58
#160,Feraligatr,['water'],Torrent Sheer Force,85,105,100,79,83,78
#161,Sentret,['normal'],Run Away Keen Eye Frisk,35,46,34,35,45,20
#162,Furret,['normal'],Run Away Keen Eye Frisk,85,76,64,45,55,90
#163,Hoothoot,"['normal', 'flying']",Insomnia Keen Eye Tinted Lens,60,30,30,36,56,50
#164,Noctowl,"['normal', 'flying']",Insomnia Keen Eye Tinted Lens,100,50,50,86,96,70
#165,Ledyba,"['bug', 'flying']",Swarm Early Bird Rattled,40,20,30,40,80,55
#166,Ledian,"['bug', 'flying']",Swarm Early Bird Iron Fist,55,35,50,55,110,85
#167,Spinarak,"['bug', 'poison']",Swarm Insomnia Sniper,40,60,40,40,40,30
#168,Ariados,"['bug', 'poison']",Swarm Insomnia Sniper,70,90,70,60,70,40
#169,Crobat,"['poison', 'flying']",Inner Focus Infiltrator,85,90,80,70,80,130
#170,Chinchou,"['water', 'electric']",Volt Absorb Illuminate Water Absorb,75,38,38,56,56,67
#171,Lanturn,"['water', 'electric']",Volt Absorb Illuminate Water Absorb,125,58,58,76,76,67
#172,Pichu,['electric'],Static Lightning Rod,20,40,15,35,35,60
#173,Cleffa,['fairy'],Cute Charm Magic Guard Friend Guard,50,25,28,45,55,15
#174,Igglybuff,"['normal', 'fairy']",Cute Charm Competitive Friend Guard,90,30,15,40,20,15
#175,Togepi,['fairy'],Hustle Serene Grace Super Luck,35,20,65,40,65,20
#176,Togetic,"['fairy', 'flying']",Hustle Serene Grace Super Luck,55,40,85,80,105,40
#177,Natu,"['psychic', 'flying']",Synchronize Early Bird Magic Bounce,40,50,45,70,45,70
#178,Xatu,"['psychic', 'flying']",Synchronize Early Bird Magic Bounce,65,75,70,95,70,95
#179,Mareep,['electric'],Static Plus,55,40,40,65,45,35
#180,Flaaffy,['electric'],Static Plus,70,55,55,80,60,45
#181,Ampharos,['electric'],Static Plus,90,75,85,115,90,55
#182,Bellossom,['grass'],Chlorophyll Healer,75,80,95,90,100,50
#183,Marill,"['water', 'fairy']",Thick Fat Huge Power Sap Sipper,70,20,50,20,50,40
#184,Azumarill,"['water', 'fairy']",Thick Fat Huge Power Sap Sipper,100,50,80,60,80,50
#185,Sudowoodo,['rock'],Sturdy Rock Head Rattled,70,100,115,30,65,30
#186,Politoed,['water'],Water Absorb Damp Drizzle,90,75,75,90,100,70
#187,Hoppip,"['grass', 'flying']",Chlorophyll Leaf Guard Infiltrator,35,35,40,35,55,50
#188,Skiploom,"['grass', 'flying']",Chlorophyll Leaf Guard Infiltrator,55,45,50,45,65,80
#189,Jumpluff,"['grass', 'flying']",Chlorophyll Leaf Guard Infiltrator,75,55,70,55,95,110
#190,Aipom,['normal'],Run Away Pickup Skill Link,55,70,55,40,55,85
#191,Sunkern,['grass'],Chlorophyll Solar Power Early Bird,30,30,30,30,30,30
#192,Sunflora,['grass'],Chlorophyll Solar Power Early Bird,75,75,55,105,85,30
#193,Yanma,"['bug', 'flying']",Speed Boost Compoundeyes Frisk,65,65,45,75,45,95
#194,Wooper,"['water', 'ground']",Damp Water Absorb Unaware,55,45,45,25,25,15
#195,Quagsire,"['water', 'ground']",Damp Water Absorb Unaware,95,85,85,65,65,35
#196,Espeon,['psychic'],Synchronize Magic Bounce,65,65,60,130,95,110
#197,Umbreon,['dark'],Synchronize Inner Focus,95,65,110,60,130,65
#198,Murkrow,"['dark', 'flying']",Insomnia Super Luck Prankster,60,85,42,85,42,91
#199,Slowking,"['water', 'psychic']",Oblivious Own Tempo Regenerator,95,75,80,100,110,30
#200,Misdreavus,['ghost'],Levitate ,60,60,60,85,85,85
#201,Unown,['psychic'],Levitate ,48,72,48,72,48,48
#202,Wobbuffet,['psychic'],Shadow Tag Telepathy,190,33,58,33,58,33
#203,Girafarig,"['normal', 'psychic']",Inner Focus Early Bird Sap Sipper,70,80,65,90,65,85
#204,Pineco,['bug'],Sturdy Overcoat,50,65,90,35,35,15
#205,Forretress,"['bug', 'steel']",Sturdy Overcoat,75,90,140,60,60,40
#206,Dunsparce,['normal'],Serene Grace Run Away Rattled,100,70,70,65,65,45
#207,Gligar,"['ground', 'flying']",Hyper Cutter Sand Veil Immunity,65,75,105,35,65,85
#208,Steelix,"['steel', 'ground']",Rock Head Sturdy Sheer Force,75,85,200,55,65,30
#209,Snubbull,['fairy'],Intimidate Run Away Rattled,60,80,50,40,40,30
#210,Granbull,['fairy'],Intimidate Quick Feet Rattled,90,120,75,60,60,45
#211,Qwilfish,"['water', 'poison']",Poison Point Swift Swim Intimidate,65,95,85,55,55,85
#212,Scizor,"['bug', 'steel']",Swarm Technician Light Metal,70,130,100,55,80,65
#213,Shuckle,"['bug', 'rock']",Sturdy Gluttony Contrary,20,10,230,10,230,5
#214,Heracross,"['bug', 'fighting']",Swarm Guts Moxie,80,125,75,40,95,85
#215,Sneasel,"['dark', 'ice ']",Inner Focus Keen Eye Pickpocket,55,95,55,35,75,115
#216,Teddiursa,['normal'],Pickup Quick Feet Honey Gather,60,80,50,50,50,40
#217,Ursaring,['normal'],Guts Quick Feet Unnerve,90,130,75,75,75,55
#218,Slugma,['fire'],Magma Armor Flame Body Weak Armor,40,40,40,70,40,20
#219,Magcargo,"['fire', 'rock']",Magma Armor Flame Body Weak Armor,60,50,120,90,80,30
#220,Swinub,"['ice ', 'ground']",Oblivious Snow Cloak Thick Fat,50,50,40,30,30,50
#221,Piloswine,"['ice ', 'ground']",Oblivious Snow Cloak Thick Fat,100,100,80,60,60,50
#222,Corsola,"['water', 'rock']",Hustle Natural Cure Regenerator,65,55,95,65,95,35
#223,Remoraid,['water'],Hustle Sniper Moody,35,65,35,65,35,65
#224,Octillery,['water'],Suction Cups Sniper Moody,75,105,75,105,75,45
#225,Delibird,"['ice ', 'flying']",Vital Spirit Hustle Insomnia,45,55,45,65,45,75
#226,Mantine,"['water', 'flying']",Swift Swim Water Absorb Water Veil,85,40,70,80,140,70
#227,Skarmory,"['steel', 'flying']",Keen Eye Sturdy Weak Armor,65,80,140,40,70,70
#228,Houndour,"['dark', 'fire']",Early Bird Flash Fire Unnerve,45,60,30,80,50,65
#229,Houndoom,"['dark', 'fire']",Early Bird Flash Fire Unnerve,75,90,50,110,80,95
#230,Kingdra,"['water', 'dragon']",Swift Swim Sniper Damp,75,95,95,95,95,85
#231,Phanpy,['ground'],Pickup Sand Veil,90,60,60,40,40,40
#232,Donphan,['ground'],Sturdy Sand Veil,90,120,120,60,60,50
#233,Porygon2,['normal'],Trace Download Analytic,85,80,90,105,95,60
#234,Stantler,['normal'],Intimidate Frisk Sap Sipper,73,95,62,85,65,85
#235,Smeargle,['normal'],Own Tempo Technician Moody,55,20,35,20,45,75
#236,Tyrogue,['fighting'],Guts Steadfast Vital Spirit,35,35,35,35,35,35
#237,Hitmontop,['fighting'],Intimidate Technician Steadfast,50,95,95,35,110,70
#238,Smoochum,"['ice ', 'psychic']",Oblivious Forewarn Hydration,45,30,15,85,65,65
#239,Elekid,['electric'],Static Vital Spirit,45,63,37,65,55,95
#240,Magby,['fire'],Flame Body Vital Spirit,45,75,37,70,55,83
#241,Miltank,['normal'],Thick Fat Scrappy Sap Sipper,95,80,105,40,70,100
#242,Blissey,['normal'],Natural Cure Serene Grace Healer,255,10,10,75,135,55
#243,Raikou,['electric'],Pressure Inner Focus,90,85,75,115,100,115
#244,Entei,['fire'],Pressure Inner Focus,115,115,85,90,75,100
#245,Suicune,['water'],Pressure Inner Focus,100,75,115,90,115,85
#246,Larvitar,"['rock', 'ground']",Guts Sand Veil,50,64,50,45,50,41
#247,Pupitar,"['rock', 'ground']",Shed Skin ,70,84,70,65,70,51
#248,Tyranitar,"['rock', 'dark']",Sand Stream Unnerve,100,134,110,95,100,61
#249,Lugia,"['psychic', 'flying']",Pressure Multiscale,106,90,130,90,154,110
#250,Ho-Oh,"['fire', 'flying']",Pressure Regenerator,106,130,90,110,154,90
#251,Celebi,"['psychic', 'grass']",Natural Cure ,100,100,100,100,100,100
#252,Treecko,['grass'],Overgrow Unburden,40,45,35,65,55,70
#253,Grovyle,['grass'],Overgrow Unburden,50,65,45,85,65,95
#254,Sceptile,['grass'],Overgrow Unburden,70,85,65,105,85,120
#255,Torchic,['fire'],Blaze Speed Boost,45,60,40,70,50,45
#256,Combusken,"['fire', 'fighting']",Blaze Speed Boost,60,85,60,85,60,55
#257,Blaziken,"['fire', 'fighting']",Blaze Speed Boost,80,120,70,110,70,80
#258,Mudkip,['water'],Torrent Damp,50,70,50,50,50,40
#259,Marshtomp,"['water', 'ground']",Torrent Damp,70,85,70,60,70,50
#260,Swampert,"['water', 'ground']",Torrent Damp,100,110,90,85,90,60
#261,Poochyena,['dark'],Run Away Quick Feet Rattled,35,55,35,30,30,35
#262,Mightyena,['dark'],Intimidate Quick Feet Moxie,70,90,70,60,60,70
#263,Zigzagoon,['normal'],Pickup Gluttony Quick Feet,38,30,41,30,41,60
#264,Linoone,['normal'],Pickup Gluttony Quick Feet,78,70,61,50,61,100
#265,Wurmple,['bug'],Shield Dust Run Away,45,45,35,20,30,20
#266,Silcoon,['bug'],Shed Skin ,50,35,55,25,25,15
#267,Beautifly,"['bug', 'flying']",Swarm Rivalry,60,70,50,100,50,65
#268,Cascoon,['bug'],Shed Skin ,50,35,55,25,25,15
#269,Dustox,"['bug', 'poison']",Shield Dust Compoundeyes,60,50,70,50,90,65
#270,Lotad,"['water', 'grass']",Swift Swim Rain Dish Own Tempo,40,30,30,40,50,30
#271,Lombre,"['water', 'grass']",Swift Swim Rain Dish Own Tempo,60,50,50,60,70,50
#272,Ludicolo,"['water', 'grass']",Swift Swim Rain Dish Own Tempo,80,70,70,90,100,70
#273,Seedot,['grass'],Chlorophyll Early Bird Pickpocket,40,40,50,30,30,30
#274,Nuzleaf,"['grass', 'dark']",Chlorophyll Early Bird Pickpocket,70,70,40,60,40,60
#275,Shiftry,"['grass', 'dark']",Chlorophyll Early Bird Pickpocket,90,100,60,90,60,80
#276,Taillow,"['normal', 'flying']",Guts Scrappy,40,55,30,30,30,85
#277,Swellow,"['normal', 'flying']",Guts Scrappy,60,85,60,75,50,125
#278,Wingull,"['water', 'flying']",Keen Eye Hydration Rain Dish,40,30,30,55,30,85
#279,Pelipper,"['water', 'flying']",Keen Eye Drizzle Rain Dish,60,50,100,95,70,65
#280,Ralts,"['psychic', 'fairy']",Synchronize Trace Telepathy,28,25,25,45,35,40
#281,Kirlia,"['psychic', 'fairy']",Synchronize Trace Telepathy,38,35,35,65,55,50
#282,Gardevoir,"['psychic', 'fairy']",Synchronize Trace Telepathy,68,65,65,125,115,80
#283,Surskit,"['bug', 'water']",Swift Swim Rain Dish,40,30,32,50,52,65
#284,Masquerain,"['bug', 'flying']",Intimidate Unnerve,70,60,62,100,82,80
#285,Shroomish,['grass'],Effect Spore Poison Heal Quick Feet,60,40,60,40,60,35
#286,Breloom,"['grass', 'fighting']",Effect Spore Poison Heal Technician,60,130,80,60,60,70
#287,Slakoth,['normal'],Truant ,60,60,60,35,35,30
#288,Vigoroth,['normal'],Vital Spirit ,80,80,80,55,55,90
#289,Slaking,['normal'],Truant ,150,160,100,95,65,100
#290,Nincada,"['bug', 'ground']",Compoundeyes Run Away,31,45,90,30,30,40
#291,Ninjask,"['bug', 'flying']",Speed Boost Infiltrator,61,90,45,50,50,160
#292,Shedinja,"['bug', 'ghost']",Wonder Guard ,1,90,45,30,30,40
#293,Whismur,['normal'],Soundproof Rattled,64,51,23,51,23,28
