Dex Num,Name,Types,Abilities,HP,ATTACK,DEFENSE,S. ATTACK,S. DEFENSE,SPEED
#294,Loudred,['normal'],Soundproof Scrappy,84,71,43,71,43,48
#295,Exploud,['normal'],Soundproof Scrappy,104,91,63,91,73,68
#296,Makuhita,['fighting'],Thick Fat Guts Sheer Force,72,60,30,20,30,25
#297,Hariyama,['fighting'],Thick Fat Guts Sheer Force,144,120,60,40,60,50
#298,Azurill,"['normal', 'fairy']",Thick Fat Huge Power Sap Sipper,50,20,40,20,40,20
#299,Nosepass,['rock'],Sturdy Magnet Pull Sand Force,30,45,135,45,90,30
#300,Skitty,['normal'],Cute Charm Normalize Wonder Skin ,50,45,45,35,35,50
#301,Delcatty,['normal'],Cute Charm Normalize Wonder Skin ,70,65,65,55,55,90
#302,Sableye,"['dark', 'ghost']",Keen Eye Stall Prankster,50,75,75,65,65,50
#303,Mawile,"['steel', 'fairy']",Hyper Cutter Intimidate Sheer Force,50,85,85,55,55,50
#304,Aron,"['steel', 'rock']",Sturdy Rock Head Heavy Metal,50,70,100,40,40,30
#305,Lairon,"['steel', 'rock']",Sturdy Rock Head Heavy Metal,60,90,140,50,50,40
#306,Aggron,"['steel', 'rock']",Sturdy Rock Head Heavy Metal,70,110,180,60,60,50
#307,Meditite,"['fighting', 'psychic']",Pure Power Telepathy,30,40,55,40,55,60
#308,Medicham,"['fighting', 'psychic']",Pure Power Telepathy,60,60,75,60,75,80
#309,Electrike,['electric'],Static Lightning Rod Minus,40,45,40,65,40,65
#310,Manectric,['electric'],Static Lightning Rod Minus,70,75,60,105,60,105
#311,Plusle,['electric'],Plus Lightning Rod,60,50,40,85,75,95
#312,Minun,['electric'],Minus Volt Absorb,60,40,50,75,85,95
#313,Volbeat,['bug'],Illuminate Swarm Prankster,65,73,75,47,85,85
#314,Illumise,['bug'],Oblivious Tinted Lens Prankster,65,47,75,73,85,85
#315,Roselia,"['grass', 'poison']",Natural Cure Poison Point Leaf Guard,50,60,45,100,80,65
#316,Gulpin,['poison'],Liquid Ooze Sticky Hold Gluttony,70,43,53,43,53,40
#317,Swalot,['poison'],Liquid Ooze Sticky Hold Gluttony,100,73,83,73,83,55
#318,Carvanha,"['water', 'dark']",Rough Skin Speed Boost,45,90,20,65,20,65
#319,Sharpedo,"['water', 'dark']",Rough Skin Speed Boost,70,120,40,95,40,95
#320,Wailmer,['water'],Water Veil Oblivious Pressure,130,70,35,70,35,60
#321,Wailord,['water'],Water Veil Oblivious Pressure,170,90,45,90,45,60
#322,Numel,"['fire', 'ground']",Oblivious Simple Own Tempo,60,60,40,65,45,35
#323,Camerupt,"['fire', 'ground']",Magma Armor Solid Rock Anger Point,70,100,70,105,75,40
#324,Torkoal,['fire'],White Smoke Drought Shell Armor,70,85,140,85,70,20
#325,Spoink,['psychic'],Thick Fat Own Tempo Gluttony,60,25,35,70,80,60
#326,Grumpig,['psychic'],Thick Fat Own Tempo Gluttony,80,45,65,90,110,80
#327,Spinda,['normal'],Own Tempo Tangled Feet Contrary,60,60,60,60,60,60
#328,Trapinch,['ground'],Hyper Cutter Arena Trap Sheer Force,45,100,45,45,45,10
#329,Vibrava,"['ground', 'dragon']",Levitate ,50,70,50,50,50,70
#330,Flygon,"['ground', 'dragon']",Levitate ,80,100,80,80,80,100
#331,Cacnea,['grass'],Sand Veil Water Absorb,50,85,40,85,40,35
#332,Cacturne,"['grass', 'dark']",Sand Veil Water Absorb,70,115,60,115,60,55
#333,Swablu,"['normal', 'flying']",Natural Cure Cloud Nine,45,40,60,40,75,50
#334,Altaria,"['dragon', 'flying']",Natural Cure Cloud Nine,75,70,90,70,105,80
#335,Zangoose,['normal'],Immunity Toxic Boost,73,115,60,60,60,90
#336,Seviper,['poison'],Shed Skin Infiltrator,73,100,60,100,60,65
#337,Lunatone,"['rock', 'psychic']",Levitate ,90,55,65,95,85,70
#338,Solrock,"['rock', 'psychic']",Levitate ,90,95,85,55,65,70
#339,Barboach,"['water', 'ground']",Oblivious Anticipation Hydration,50,48,43,46,41,60
#340,Whiscash,"['water', 'ground']",Oblivious Anticipation Hydration,110,78,73,76,71,60
#341,Corphish,['water'],Hyper Cutter Shell Armor Adaptability,43,80,65,50,35,35
#342,Crawdaunt,"['water', 'dark']",Hyper Cutter Shell Armor Adaptability,63,120,85,90,55,55
#343,Baltoy,"['ground', 'psychic']",Levitate ,40,40,55,40,70,55
#344,Claydol,"['ground', 'psychic']",Levitate ,60,70,105,70,120,75
#345,Lileep,"['rock', 'grass']",Suction Cups Storm Drain,66,41,77,61,87,23
#346,Cradily,"['rock', 'grass']",Suction Cups Storm Drain,86,81,97,81,107,43
#347,Anorith,"['rock', 'bug']",Battle Armor Swift Swim,45,95,50,40,50,75
#348,Armaldo,"['rock', 'bug']",Battle Armor Swift Swim,75,125,100,70,80,45
#349,Feebas,['water'],Swift Swim Oblivious Adaptability,20,15,20,10,55,80
#350,Milotic,['water'],Marvel Scale Competitive Cute Charm,95,60,79,100,125,81
#351,Castform,['normal'],Forecast ,70,70,70,70,70,70
#352,Kecleon,['normal'],Color Change Protean,60,90,70,60,120,40
#353,Shuppet,['ghost'],Insomnia Frisk Cursed Body,44,75,35,63,33,45
#354,Banette,['ghost'],Insomnia Frisk Cursed Body,64,115,65,83,63,65
#355,Duskull,['ghost'],Levitate Frisk,20,40,90,30,90,25
#356,Dusclops,['ghost'],Pressure Frisk,40,70,130,60,130,25
#357,Tropius,"['grass', 'flying']",Chlorophyll Solar Power Harvest,99,68,83,72,87,51
#358,Chimecho,['psychic'],Levitate ,75,50,80,95,90,65
#359,Absol,['dark'],Pressure Super Luck Justified,65,130,60,75,60,75
#360,Wynaut,['psychic'],Shadow Tag Telepathy,95,23,48,23,48,23
#361,Snorunt,['ice '],Inner Focus Ice Body Moody,50,50,50,50,50,50
#362,Glalie,['ice '],Inner Focus Ice Body Moody,80,80,80,80,80,80
#363,Spheal,"['ice ', 'water']",Thick Fat Ice Body Oblivious,70,40,50,55,50,25
#364,Sealeo,"['ice ', 'water']",Thick Fat Ice Body Oblivious,90,60,70,75,70,45
#365,Walrein,"['ice ', 'water']",Thick Fat Ice Body Oblivious,110,80,90,95,90,65
#366,Clamperl,['water'],Shell Armor Rattled,35,64,85,74,55,32
#367,Huntail,['water'],Swift Swim Water Veil,55,104,105,94,75,52
#368,Gorebyss,['water'],Swift Swim Hydration,55,84,105,114,75,52
#369,Relicanth,"['water', 'rock']",Swift Swim Rock Head Sturdy,100,90,130,45,65,55
#370,Luvdisc,['water'],Swift Swim Hydration,43,30,55,40,65,97
#371,Bagon,['dragon'],Rock Head Sheer Force,45,75,60,40,30,50
#372,Shelgon,['dragon'],Rock Head Overcoat,65,95,100,60,50,50
#373,Salamence,"['dragon', 'flying']",Intimidate Moxie,95,135,80,110,80,100
#374,Beldum,"['steel', 'psychic']",Clear Body Light Metal,40,55,80,35,60,30
#375,Metang,"['steel', 'psychic']",Clear Body Light Metal,60,75,100,55,80,50
#376,Metagross,"['steel', 'psychic']",Clear Body Light Metal,80,135,130,95,90,70
#377,Regirock,['rock'],Clear Body Sturdy,80,100,200,50,100,50
#378,Regice,['ice '],Clear Body Ice Body,80,50,100,100,200,50
#379,Registeel,['steel'],Clear Body Light Metal,80,75,150,75,150,50
#380,Latias,"['dragon', 'psychic']",Levitate ,80,80,90,110,130,110
#381,Latios,"['dragon', 'psychic']",Levitate ,80,90,80,130,110,110
#382,Kyogre,['water'],Drizzle ,100,100,90,150,140,90
#383,Groudon,['ground'],Drought ,100,150,140,100,90,90
#384,Rayquaza,"['dragon', 'flying']",Air Lock ,105,150,90,150,90,95
#385,Jirachi,"['steel', 'psychic']",Serene Grace ,100,100,100,100,100,100
#386,Deoxys,['psychic'],Pressure ,50,150,50,150,50,150
#387,Turtwig,['grass'],Overgrow Shell Armor,55,68,64,45,55,31
#388,Grotle,['grass'],Overgrow Shell Armor,75,89,85,55,65,36
#389,Torterra,"['grass', 'ground']",Overgrow Shell Armor,95,109,105,75,85,56
#390,Chimchar,['fire'],Blaze Iron Fist,44,58,44,58,44,61
#391,Monferno,"['fire', 'fighting']",Blaze Iron Fist,64,78,52,78,52,81
#392,Infernape,"['fire', 'fighting']",Blaze Iron Fist,76,104,71,104,71,108
#393,Piplup,['water'],Torrent Defiant,53,51,53,61,56,40
#394,Prinplup,['water'],Torrent Defiant,64,66,68,81,76,50
#395,Empoleon,"['water', 'steel']",Torrent Defiant,84,86,88,111,101,60
#396,Starly,"['normal', 'flying']",Keen Eye Reckless,40,55,30,30,30,60
#397,Staravia,"['normal', 'flying']",Intimidate Reckless,55,75,50,40,40,80
#398,Staraptor,"['normal', 'flying']",Intimidate Reckless,85,120,70,50,60,100
#399,Bidoof,['normal'],Simple Unaware Moody,59,45,40,35,40,31
#400,Bibarel,"['normal', 'water']",Simple Unaware Moody,79,85,60,55,60,71
#401,Kricketot,['bug'],Shed Skin Run Away,37,25,41,25,41,25
#402,Kricketune,['bug'],Swarm Technician,77,85,51,55,51,65
#403,Shinx,['electric'],Rivalry Intimidate Guts,45,65,34,40,34,45
#404,Luxio,['electric'],Rivalry Intimidate Guts,60,85,49,60,49,60
#405,Luxray,['electric'],Rivalry Intimidate Guts,80,120,79,95,79,70
#406,Budew,"['grass', 'poison']",Natural Cure Poison Point Leaf Guard,40,30,35,50,70,55
#407,Roserade,"['grass', 'poison']",Natural Cure Poison Point Technician,60,70,65,125,105,90
#408,Cranidos,['rock'],Mold Breaker Sheer Force,67,125,40,30,30,58
#409,Rampardos,['rock'],Mold Breaker Sheer Force,97,165,60,65,50,58
#410,Shieldon,"['rock', 'steel']",Sturdy Soundproof,30,42,118,42,88,30
#411,Bastiodon,"['rock', 'steel']",Sturdy Soundproof,60,52,168,47,138,30
#412,Burmy,['bug'],Shed Skin Overcoat,40,29,45,29,45,36
#413,Wormadam,"['bug', 'grass']",Anticipation Overcoat,60,59,85,79,105,36
#414,Mothim,"['bug', 'flying']",Swarm Tinted Lens,70,94,50,94,50,66
#415,Combee,"['bug', 'flying']",Honey Gather Hustle,30,30,42,30,42,70
#416,Vespiquen,"['bug', 'flying']",Pressure Unnerve,70,80,102,80,102,40
#417,Pachirisu,['electric'],Run Away Pickup Volt Absorb,60,45,70,45,90,95
#418,Buizel,['water'],Swift Swim Water Veil,55,65,35,60,30,85
#419,Floatzel,['water'],Swift Swim Water Veil,85,105,55,85,50,115
#420,Cherubi,['grass'],Chlorophyll ,45,35,45,62,53,35
#421,Cherrim,['grass'],Flower Gift ,70,60,70,87,78,85
#422,Shellos,['water'],Sticky Hold Storm Drain Sand Force,76,48,48,57,62,34
#423,Gastrodon,"['water', 'ground']",Sticky Hold Storm Drain Sand Force,111,83,68,92,82,39
#424,Ambipom,['normal'],Technician Pickup Skill Link,75,100,66,60,66,115
#425,Drifloon,"['ghost', 'flying']",Aftermath Unburden Flare Boost,90,50,34,60,44,70
#426,Drifblim,"['ghost', 'flying']",Aftermath Unburden Flare Boost,150,80,44,90,54,80
#427,Buneary,['normal'],Run Away Klutz Limber,55,66,44,44,56,85
#428,Lopunny,['normal'],Cute Charm Klutz Limber,65,76,84,54,96,105
#429,Mismagius,['ghost'],Levitate ,60,60,60,105,105,105
#430,Honchkrow,"['dark', 'flying']",Insomnia Super Luck Moxie,100,125,52,105,52,71
#431,Glameow,['normal'],Limber Own Tempo Keen Eye,49,55,42,42,37,85
#432,Purugly,['normal'],Thick Fat Own Tempo Defiant,71,82,64,64,59,112
#433,Chingling,['psychic'],Levitate ,45,30,50,65,50,45
#434,Stunky,"['poison', 'dark']",Stench Aftermath Keen Eye,63,63,47,41,41,74
#435,Skuntank,"['poison', 'dark']",Stench Aftermath Keen Eye,103,93,67,71,61,84
#436,Bronzor,"['steel', 'psychic']",Levitate Heatproof Heavy Metal,57,24,86,24,86,23
#437,Bronzong,"['steel', 'psychic']",Levitate Heatproof Heavy Metal,67,89,116,79,116,33
#438,Bonsly,['rock'],Sturdy Rock Head Rattled,50,80,95,10,45,10
#439,Mime Jr.,"['psychic', 'fairy']",Soundproof Filter Technician,20,25,45,70,90,60
#440,Happiny,['normal'],Natural Cure Serene Grace Friend Guard,100,5,5,15,65,30
#441,Chatot,"['normal', 'flying']",Keen Eye Tangled Feet Big Pecks,76,65,45,92,42,91
#442,Spiritomb,"['ghost', 'dark']",Pressure Infiltrator,50,92,108,92,108,35
#443,Gible,"['dragon', 'ground']",Sand Veil Rough Skin,58,70,45,40,45,42
#444,Gabite,"['dragon', 'ground']",Sand Veil Rough Skin,68,90,65,50,55,82
#445,Garchomp,"['dragon', 'ground']",Sand Veil Rough Skin,108,130,95,80,85,102
#446,Munchlax,['normal'],Pickup Thick Fat Gluttony,135,85,40,40,85,5
#447,Riolu,['fighting'],Steadfast Inner Focus Prankster,40,70,40,35,40,60
#448,Lucario,"['fighting', 'steel']",Steadfast Inner Focus Justified,70,110,70,115,70,90
#449,Hippopotas,['ground'],Sand Stream Sand Force,68,72,78,38,42,32
#450,Hippowdon,['ground'],Sand Stream Sand Force,108,112,118,68,72,47
#451,Skorupi,"['poison', 'bug']",Battle Armor Sniper Keen Eye,40,50,90,30,55,65
#452,Drapion,"['poison', 'dark']",Battle Armor Sniper Keen Eye,70,90,110,60,75,95
#453,Croagunk,"['poison', 'fighting']",Anticipation Dry Skin Poison Touch,48,61,40,61,40,50
#454,Toxicroak,"['poison', 'fighting']",Anticipation Dry Skin Poison Touch,83,106,65,86,65,85
#455,Carnivine,['grass'],Levitate ,74,100,72,90,72,46
#456,Finneon,['water'],Swift Swim Storm Drain Water Veil,49,49,56,49,61,66
#457,Lumineon,['water'],Swift Swim Storm Drain Water Veil,69,69,76,69,86,91
#458,Mantyke,"['water', 'flying']",Swift Swim Water Absorb Water Veil,45,20,50,60,120,50
#459,Snover,"['grass', 'ice ']",Snow Warning Soundproof,60,62,50,62,60,40
#460,Abomasnow,"['grass', 'ice ']",Snow Warning Soundproof,90,92,75,92,85,60
#461,Weavile,"['dark', 'ice ']",Pressure Pickpocket,70,120,65,45,85,125
#462,Magnezone,"['electric', 'steel']",Magnet Pull Sturdy Analytic,70,70,115,130,90,60
#463,Lickilicky,['normal'],Own Tempo Oblivious Cloud Nine,110,85,95,80,95,50
#464,Rhyperior,"['ground', 'rock']",Lightning Rod Solid Rock Reckless,115,140,130,55,55,40
#465,Tangrowth,['grass'],Chlorophyll Leaf Guard Regenerator,100,100,125,110,50,50
#466,Electivire,['electric'],Motor Drive Vital Spirit,75,123,67,95,85,95
#467,Magmortar,['fire'],Flame Body Vital Spirit,75,95,67,125,95,83
#468,Togekiss,"['fairy', 'flying']",Hustle Serene Grace Super Luck,85,50,95,120,115,80
#469,Yanmega,"['bug', 'flying']",Speed Boost Tinted Lens Frisk,86,76,86,116,56,95
#470,Leafeon,['grass'],Leaf Guard Chlorophyll,65,110,130,60,65,95
#471,Glaceon,['ice '],Snow Cloak Ice Body,65,60,110,130,95,65
#472,Gliscor,"['ground', 'flying']",Hyper Cutter Sand Veil Poison Heal,75,95,125,45,75,95
#473,Mamoswine,"['ice ', 'ground']",Oblivious Snow Cloak Thick Fat,110,130,80,70,60,80
#474,Porygon-Z,['normal'],Adaptability Download Analytic,85,80,70,135,75,90
#475,Gallade,"['psychic', 'fighting']",Steadfast Justified,68,125,65,65,115,80
#476,Probopass,"['rock', 'steel']",Sturdy Magnet Pull Sand Force,60,55,145,75,150,40
#477,Dusknoir,['ghost'],Pressure Frisk,45,100,135,65,135,45
#478,Froslass,"['ice ', 'ghost']",Snow Cloak Cursed Body,70,80,70,80,70,110
#479,Rotom,"['electric', 'ghost']",Levitate ,50,50,77,95,77,91
#480,Uxie,['psychic'],Levitate ,75,75,130,75,130,95
#481,Mesprit,['psychic'],Levitate ,80,105,105,105,105,80
#482,Azelf,['psychic'],Levitate ,75,125,70,125,70,115
#483,Dialga,"['steel', 'dragon']",Pressure Telepathy,100,120,120,150,100,90
#484,Palkia,"['water', 'dragon']",Pressure Telepathy,90,120,100,150,120,100
#485,Heatran,"['fire', 'steel']",Flash Fire Flame Body,91,90,106,130,106,77
#486,Regigigas,['normal'],Slow Start ,110,160,110,80,110,100
#487,Giratina,"['ghost', 'dragon']",Pressure Telepathy,150,100,120,100,120,90
#488,Cresselia,['psychic'],Levitate ,120,70,120,75,130,85
#489,Phione,['water'],Hydration ,80,80,80,80,80,80
#490,Manaphy,['water'],Hydration ,100,100,100,100,100,100
#491,Darkrai,['dark'],Bad Dreams ,70,90,90,135,90,125
#492,Shaymin,['grass'],Natural Cure ,100,100,100,100,100,100
#493,Arceus,['normal'],Multitype ,120,120,120,120,120,120
#494,Victini,"['psychic', 'fire']",Victory Star ,100,100,100,100,100,100
#495,Snivy,['grass'],Overgrow Contrary,45,45,55,45,55,63
#496,Servine,['grass'],Overgrow Contrary,60,60,75,60,75,83
#497,Serperior,['grass'],Overgrow Contrary,75,75,95,75,95,113
#498,Tepig,['fire'],Blaze Thick Fat,65,63,45,45,45,45
#499,Pignite,"['fire', 'fighting']",Blaze Thick Fat,90,93,55,70,55,55
#500,Emboar,"['fire', 'fighting']",Blaze Reckless,110,123,65,100,65,65
#501,Oshawott,['water'],Torrent Shell Armor,55,55,45,63,45,45
#502,Dewott,['water'],Torrent Shell Armor,75,75,60,83,60,60
#503,Samurott,['water'],Torrent Shell Armor,95,100,85,108,70,70
#504,Patrat,['normal'],Run Away Keen Eye Analytic,45,55,39,35,39,42
#505,Watchog,['normal'],Illuminate Keen Eye Analytic,60,85,69,60,69,77
#506,Lillipup,['normal'],Vital Spirit Pickup Run Away,45,60,45,25,45,55
#507,Herdier,['normal'],Intimidate Sand Rush Scrappy,65,80,65,35,65,60
#508,Stoutland,['normal'],Intimidate Sand Rush Scrappy,85,110,90,45,90,80
#509,Purrloin,['dark'],Limber Unburden Prankster,41,50,37,50,37,66
#510,Liepard,['dark'],Limber Unburden Prankster,64,88,50,88,50,106
#511,Pansage,['grass'],Gluttony Overgrow,50,53,48,53,48,64
#512,Simisage,['grass'],Gluttony Overgrow,75,98,63,98,63,101
#513,Pansear,['fire'],Gluttony Blaze,50,53,48,53,48,64
#514,Simisear,['fire'],Gluttony Blaze,75,98,63,98,63,101
#515,Panpour,['water'],Gluttony Torrent,50,53,48,53,48,64
#516,Simipour,['water'],Gluttony Torrent,75,98,63,98,63,101
#517,Munna,['psychic'],Forewarn Synchronize Telepathy,76,25,45,67,55,24
#518,Musharna,['psychic'],Forewarn Synchronize Telepathy,116,55,85,107,95,29
#519,Pidove,"['normal', 'flying']",Big Pecks Super Luck Rivalry,50,55,50,36,30,43
#520,Tranquill,"['normal', 'flying']",Big Pecks Super Luck Rivalry,62,77,62,50,42,65
#521,Unfezant,"['normal', 'flying']",Big Pecks Super Luck Rivalry,80,115,80,65,55,93
#522,Blitzle,['electric'],Lightning Rod Motor Drive Sap Sipper,45,60,32,50,32,76
#523,Zebstrika,['electric'],Lightning Rod Motor Drive Sap Sipper,75,100,63,80,63,116
#524,Roggenrola,['rock'],Sturdy Weak Armor Sand Force,55,75,85,25,25,15
#525,Boldore,['rock'],Sturdy Weak Armor Sand Force,70,105,105,50,40,20
#526,Gigalith,['rock'],Sturdy Sand Stream Sand Force,85,135,130,60,80,25
#527,Woobat,"['psychic', 'flying']",Unaware Klutz Simple,65,45,43,55,43,72
#528,Swoobat,"['psychic', 'flying']",Unaware Klutz Simple,67,57,55,77,55,114
#529,Drilbur,['ground'],Sand Rush Sand Force Mold Breaker,60,85,40,30,45,68
#530,Excadrill,"['ground', 'steel']",Sand Rush Sand Force Mold Breaker,110,135,60,50,65,88
#531,Audino,['normal'],Healer Regenerator Klutz,103,60,86,60,86,50
#532,Timburr,['fighting'],Guts Sheer Force Iron Fist,75,80,55,25,35,35
#533,Gurdurr,['fighting'],Guts Sheer Force Iron Fist,85,105,85,40,50,40
#534,Conkeldurr,['fighting'],Guts Sheer Force Iron Fist,105,140,95,55,65,45
#535,Tympole,['water'],Swift Swim Hydration Water Absorb,50,50,40,50,40,64
#536,Palpitoad,"['water', 'ground']",Swift Swim Hydration Water Absorb,75,65,55,65,55,69
#537,Seismitoad,"['water', 'ground']",Swift Swim Poison Touch Water Absorb,105,95,75,85,75,74
#538,Throh,['fighting'],Guts Inner Focus Mold Breaker,120,100,85,30,85,45
#539,Sawk,['fighting'],Sturdy Inner Focus Mold Breaker,75,125,75,30,75,85
#540,Sewaddle,"['bug', 'grass']",Swarm Chlorophyll Overcoat,45,53,70,40,60,42
#541,Swadloon,"['bug', 'grass']",Leaf Guard Chlorophyll Overcoat,55,63,90,50,80,42
#542,Leavanny,"['bug', 'grass']",Swarm Chlorophyll Overcoat,75,103,80,70,80,92
#543,Venipede,"['bug', 'poison']",Poison Point Swarm Speed Boost,30,45,59,30,39,57
#544,Whirlipede,"['bug', 'poison']",Poison Point Swarm Speed Boost,40,55,99,40,79,47
#545,Scolipede,"['bug', 'poison']",Poison Point Swarm Speed Boost,60,100,89,55,69,112
#546,Cottonee,"['grass', 'fairy']",Prankster Infiltrator Chlorophyll,40,27,60,37,50,66
#547,Whimsicott,"['grass', 'fairy']",Prankster Infiltrator Chlorophyll,60,67,85,77,75,116
#548,Petilil,['grass'],Chlorophyll Own Tempo Leaf Guard,45,35,50,70,50,30
#549,Lilligant,['grass'],Chlorophyll Own Tempo Leaf Guard,70,60,75,110,75,90
#550,Basculin,['water'],Reckless Adaptability Mold Breaker,70,92,65,80,55,98
#551,Sandile,"['ground', 'dark']",Intimidate Moxie Anger Point,50,72,35,35,35,65
#552,Krokorok,"['ground', 'dark']",Intimidate Moxie Anger Point,60,82,45,45,45,74
#553,Krookodile,"['ground', 'dark']",Intimidate Moxie Anger Point,95,117,80,65,70,92
#554,Darumaka,['fire'],Hustle Inner Focus,70,90,45,15,45,50
#555,Darmanitan,['fire'],Sheer Force Zen Mode,105,140,55,30,55,95
#556,Maractus,['grass'],Water Absorb Chlorophyll Storm Drain,75,86,67,106,67,60
#557,Dwebble,"['bug', 'rock']",Sturdy Shell Armor Weak Armor,50,65,85,35,35,55
#558,Crustle,"['bug', 'rock']",Sturdy Shell Armor Weak Armor,70,105,125,65,75,45
#559,Scraggy,"['dark', 'fighting']",Shed Skin Moxie Intimidate,50,75,70,35,70,48
#560,Scrafty,"['dark', 'fighting']",Shed Skin Moxie Intimidate,65,90,115,45,115,58
#561,Sigilyph,"['psychic', 'flying']",Wonder Skin  Magic Guard Tinted Lens,72,58,80,103,80,97
#562,Yamask,['ghost'],Mummy ,38,30,85,55,65,30
#563,Cofagrigus,['ghost'],Mummy ,58,50,145,95,105,30
#564,Tirtouga,"['water', 'rock']",Solid Rock Sturdy Swift Swim,54,78,103,53,45,22
#565,Carracosta,"['water', 'rock']",Solid Rock Sturdy Swift Swim,74,108,133,83,65,32
#566,Archen,"['rock', 'flying']",Defeatist ,55,112,45,74,45,70
#567,Archeops,"['rock', 'flying']",Defeatist ,75,140,65,112,65,110
#568,Trubbish,['poison'],Stench Sticky Hold Aftermath,50,50,62,40,62,65
#569,Garbodor,['poison'],Stench Weak Armor Aftermath,80,95,82,60,82,75
#570,Zorua,['dark'],Illusion ,40,65,40,80,40,65
#571,Zoroark,['dark'],Illusion ,60,105,60,120,60,105
#572,Minccino,['normal'],Cute Charm Technician Skill Link,55,50,40,40,40,75
#573,Cinccino,['normal'],Cute Charm Technician Skill Link,75,95,60,65,60,115
#574,Gothita,['psychic'],Frisk Competitive Shadow Tag,45,30,50,55,65,45
#575,Gothorita,['psychic'],Frisk Competitive Shadow Tag,60,45,70,75,85,55
#576,Gothitelle,['psychic'],Frisk Competitive Shadow Tag,70,55,95,95,110,65
#577,Solosis,['psychic'],Overcoat Magic Guard Regenerator,45,30,40,105,50,20
#578,Duosion,['psychic'],Overcoat Magic Guard Regenerator,65,40,50,125,60,30
#579,Reuniclus,['psychic'],Overcoat Magic Guard Regenerator,110,65,75,125,85,30
#580,Ducklett,"['water', 'flying']",Keen Eye Big Pecks Hydration,62,44,50,44,50,55
#581,Swanna,"['water', 'flying']",Keen Eye Big Pecks Hydration,75,87,63,87,63,98
#582,Vanillite,['ice '],Ice Body Snow Cloak Weak Armor,36,50,50,65,60,44
#583,Vanillish,['ice '],Ice Body Snow Cloak Weak Armor,51,65,65,80,75,59
#584,Vanilluxe,['ice '],Ice Body Snow Warning Weak Armor,71,95,85,110,95,79
#585,Deerling,"['normal', 'grass']",Chlorophyll Sap Sipper Serene Grace,60,60,50,40,50,75
#586,Sawsbuck,"['normal', 'grass']",Chlorophyll Sap Sipper Serene Grace,80,100,70,60,70,95
#587,Emolga,"['electric', 'flying']",Static Motor Drive,55,75,60,75,60,103
#588,Karrablast,['bug'],Swarm Shed Skin No Guard,50,75,45,40,45,60
#589,Escavalier,"['bug', 'steel']",Swarm Shell Armor Overcoat,70,135,105,60,105,20
#590,Foongus,"['grass', 'poison']",Effect Spore Regenerator,69,55,45,55,55,15
#591,Amoonguss,"['grass', 'poison']",Effect Spore Regenerator,114,85,70,85,80,30
