name,type,catagory,power,accuracy,pp,TM number,effect,effect probability
G-Max Hydrosnipe,Water,physical,none,∞,5,none,Inteleon-exclusive G-Max Move. Ignores target's ability.,none
G-Max Malodor,Poison,physical,none,∞,5,none,Garbodor-exclusive G-Max Move. Poisons opponents.,100
G-Max Meltdown,Steel,physical,none,∞,5,none,Melmetal-exclusive G-Max Move. Prevents opponents using the same move twice in a row.,none
G-Max One Blow,Dark,physical,none,∞,5,none,Urshifu Single-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect.,none
G-Max Rapid Flow,Water,physical,none,∞,5,none,Urshifu Rapid-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect.,none
G-Max Replenish,Normal,physical,none,∞,5,none,Snorlax-exclusive G-Max Move. Recycles Berries.,none
G-Max Resonance,Ice,physical,none,∞,5,none,Lapras-exclusive G-Max Move. Reduces damage for 5 turns.,none
G-Max Sandblast,Ground,physical,none,∞,5,none,Sandaconda-exclusive G-Max Move. Traps opponents for 4-5 turns.,100
G-Max Smite,Fairy,physical,none,∞,5,none,Hatterene-exclusive G-Max Move. Confuses opponents.,100
G-Max Snooze,Dark,physical,none,∞,5,none,Grimmsnarl-exclusive G-Max Move. Makes opponents drowsy.,none
G-Max Steelsurge,Steel,physical,none,∞,5,none,Copperajah-exclusive G-Max Move. Sets up Spikes on the field.,none
G-Max Stonesurge,Water,physical,none,∞,5,none,Drednaw-exclusive G-Max Move. Sets up Stealth Rock.,none
G-Max Stun Shock,Electric,physical,none,∞,10,none,Toxtricity-exclusive G-Max Move. Poisons or paralyzes opponents.,100
G-Max Sweetness,Grass,physical,none,∞,10,none,Appletun-exclusive G-Max Move. Heals status conditions of user's team.,none
G-Max Tartness,Grass,physical,none,∞,10,none,Flapple-exclusive G-Max Move. Reduces opponents' evasiveness.,100
G-Max Terror,Ghost,physical,none,∞,10,none,Gengar-exclusive G-Max Move. Prevents opponent from switching out.,none
G-Max Vine Lash,Grass,physical,none,∞,10,none,Venusaur-exclusive G-Max Move. Damages non-Grass types for 4 turns.,none
G-Max Volcalith,Rock,physical,none,∞,10,none,Coalossal-exclusive G-Max Move. Deals damage for 4 turns.,100
G-Max Volt Crash,Electric,physical,none,∞,10,none,Pikachu-exclusive G-Max Move. Paralyzes opponents.,100
G-Max Wildfire,Fire,physical,none,∞,10,none,Charizard-exclusive G-Max Move. Damages non-Fire types for 4 turns.,100
G-Max Wind Rage,Flying,physical,none,∞,10,none,Corviknight-exclusive G-Max Move. Removes battlefield hazards.,none
Gastro Acid,Poison,status,none,100,10,none,Cancels out the effect of the opponent's Ability.,none
Gear Grind,Steel,physical,50,85,15,none,Hits twice in one turn.,none
Gear Up,Steel,status,none,none,20,none,The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.,none
Genesis Supernova,Psychic,special,185,none,1,none,Mew-exclusive Z-Move.,none
Geomancy,Fairy,status,none,none,10,none,"Charges on first turn, sharply raises user's Sp. Attack, Sp. Defense and Speed on the second.",none
Giga Drain,Grass,special,75,100,10,TM28,User recovers half the HP inflicted on opponent.,none
Giga Impact,Normal,physical,150,90,5,TM09,User must recharge next turn.,none
Gigavolt Havoc,Electric,none,none,none,1,none,Electric type Z-Move.,none
Glacial Lance,Ice,physical,130,100,5,none,The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pokémon.,none
Glaciate,Ice,special,65,95,10,none,Lowers opponent's Speed.,100
Glare,Normal,status,none,100,30,none,Paralyzes opponent.,none
Glitzy Glow,Psychic,special,90,100,15,none,Reduces damage from Special attacks.,none
Grass Knot,Grass,special,none,100,20,none,"The heavier the opponent, the stronger the attack.",none
Grass Pledge,Grass,special,80,100,10,none,Added effects appear if preceded by Water Pledge or succeeded by Fire Pledge.,none
Grass Whistle,Grass,status,none,55,15,none,Puts opponent to sleep.,none
Grassy Glide,Grass,physical,70,100,20,none,High priority during Grassy Terrain.,none
Grassy Terrain,Grass,status,none,none,10,TM88,Restores a little HP of all Pokémon for 5 turns. ,none
Grav Apple,Grass,physical,80,100,10,none,Lowers the opponent's Defense stat.,100
Gravity,Psychic,status,none,none,5,none,Prevents moves like Fly and Bounce and the Ability Levitate for 5 turns.,none
Growl,Normal,status,none,100,40,none,Lowers opponent's Attack.,none
Growth,Normal,status,none,none,20,none,Raises user's Attack and Special Attack.,none
Grudge,Ghost,status,none,none,5,none,"If the users faints after using this move, the PP for the opponent's last move is depleted.",none
Guard Split,Psychic,status,none,none,10,none,Averages Defense and Special Defense with the target.,none
Guard Swap,Psychic,status,none,none,10,TM61,User and opponent swap Defense and Special Defense.,none
Guardian of Alola,Fairy,special,none,none,1,none,Tapu-exclusive Z-move. Cuts opponent's HP by 75%.,none
Guillotine,Normal,physical,none,30,5,none,"One-Hit-KO, if it hits.",none
Gunk Shot,Poison,physical,120,80,5,none,May poison opponent.,30
Gust,Flying,special,40,100,35,none,Hits Pokémon using Fly/Bounce with double power.,none
Gyro Ball,Steel,physical,none,100,5,none,"The slower the user, the stronger the attack.",none
Hail,Ice,status,none,none,10,TM35,Non-Ice types are damaged for 5 turns.,none
Hammer Arm,Fighting,physical,100,90,10,none,Lowers user's Speed.,100
Happy Hour,Normal,status,none,none,30,none,Doubles prize money from trainer battles.,none
Harden,Normal,status,none,none,30,none,Raises user's Defense.,none
Haze,Ice,status,none,none,30,none,Resets all stat changes.,none
Head Charge,Normal,physical,120,100,15,none,User receives recoil damage.,none
Head Smash,Rock,physical,150,80,5,none,User receives recoil damage.,none
Headbutt,Normal,physical,70,100,15,none,May cause flinching.,30
Heal Bell,Normal,status,none,none,5,none,Heals the user's party's status conditions.,none
Heal Block,Psychic,status,none,100,15,none,Prevents the opponent from restoring HP for 5 turns.,none
Heal Order,Bug,status,none,none,10,none,User recovers half its max HP.,none
Heal Pulse,Psychic,status,none,none,10,none,Restores half the target's max HP.,none
Healing Wish,Psychic,status,none,none,10,none,The user faints and the next Pokémon released is fully healed.,none
Heart Stamp,Psychic,physical,60,100,25,none,May cause flinching.,30
Heart Swap,Psychic,status,none,none,10,none,Stat changes are swapped with the opponent.,none
Heat Crash,Fire,physical,none,100,10,none,"The heavier the user, the stronger the attack.",none
Heat Wave,Fire,special,95,90,10,none,May burn opponent.,10
Heavy Slam,Steel,physical,none,100,10,none,"The heavier the user, the stronger the attack.",none
Helping Hand,Normal,status,none,none,20,TM41,"In Double Battles, boosts the power of the partner's move.",none
Hex,Ghost,special,65,100,10,TM77,Inflicts more damage if the target has a status condition.,none
Hidden Power,Normal,special,60,100,15,none,Type and power depends on user's IVs.,none
High Horsepower,Ground,physical,95,95,10,none,The user fiercely attacks the target using its entire body.,none
High Jump Kick,Fighting,physical,130,90,10,none,"If it misses, the user loses half their HP.",none
Hold Back,Normal,physical,40,100,40,none,Always leaves opponent with at least 1 HP.,none
Hold Hands,Normal,status,none,none,40,none,Makes the user and an ally very happy.,none
Hone Claws,Dark,status,none,none,15,none,Raises user's Attack and Accuracy.,none
Horn Attack,Normal,physical,65,100,25,none,none,none
Horn Drill,Normal,physical,none,30,5,none,"One-Hit-KO, if it hits.",none
Horn Leech,Grass,physical,75,100,10,none,User recovers half the HP inflicted on opponent.,none
Howl,Normal,status,none,none,40,none,Raises Attack of allies.,none
Hurricane,Flying,special,110,70,10,none,May confuse opponent.,30
Hydro Cannon,Water,special,150,90,5,none,User must recharge next turn.,none
Hydro Pump,Water,special,110,80,5,none,none,none
Hydro Vortex,Water,none,none,none,1,none,Water type Z-Move.,none
Hyper Beam,Normal,special,150,90,5,TM08,User must recharge next turn.,none
Hyper Fang,Normal,physical,80,90,15,none,May cause flinching.,10
Hyper Voice,Normal,special,90,100,10,none,none,none
Hyperspace Fury,Dark,physical,100,∞,5,none,Lowers user's Defense. Can strike through Protect/Detect.,100
Hyperspace Hole,Psychic,special,80,∞,5,none,Can strike through Protect/Detect.,none
Hypnosis,Psychic,status,none,60,20,none,Puts opponent to sleep.,none
Ice Ball,Ice,physical,30,90,20,none,Doubles in power each turn for 5 turns.,none
Ice Beam,Ice,special,90,100,10,none,May freeze opponent.,10
Ice Burn,Ice,special,140,90,5,none,"Charges on first turn, attacks on second. May burn opponent.",30
Ice Fang,Ice,physical,65,95,15,TM67,May cause flinching and/or freeze opponent.,10
Ice Hammer,Ice,physical,100,90,10,none,"The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however.",100
Ice Punch,Ice,physical,75,100,15,TM04,May freeze opponent.,10
Ice Shard,Ice,physical,40,100,30,none,User attacks first.,none
Icicle Crash,Ice,physical,85,90,10,none,May cause flinching.,30
Icicle Spear,Ice,physical,25,100,30,TM51,Hits 2-5 times in one turn.,none
Icy Wind,Ice,special,55,95,15,TM27,Lowers opponent's Speed.,100
Imprison,Psychic,status,none,none,10,TM44,Opponent is unable to use moves that the user also knows.,none
Incinerate,Fire,special,60,100,15,none,Destroys the target's held berry.,none
Inferno,Fire,special,100,50,5,none,Burns opponent.,100
Inferno Overdrive,Fire,none,none,none,1,none,Fire type Z-Move.,none
Infestation,Bug,special,20,100,20,none,"Traps opponent, damaging them for 4-5 turns.",100
Ingrain,Grass,status,none,none,20,none,User restores HP each turn. User cannot escape/switch.,none
Instruct,Psychic,status,none,none,15,none,Allows an ally to use a move instead.,none
Ion Deluge,Electric,status,none,none,25,none,Changes Normal-type moves to Electric-type.,none
Iron Defense,Steel,status,none,none,15,none,Sharply raises user's Defense.,none
Iron Head,Steel,physical,80,100,15,none,May cause flinching.,30
Iron Tail,Steel,physical,100,75,15,none,May lower opponent's Defense.,30
Jaw Lock,Dark,physical,80,100,10,none,Prevents user and opponent from switching out.,none
Judgment,Normal,special,100,100,10,none,Type depends on the Arceus Plate being held.,none
Jump Kick,Fighting,physical,100,95,10,none,"If it misses, the user loses half their HP.",none
Jungle Healing,Grass,status,none,none,10,none,Restores team's HP and cures status conditions.,none
Karate Chop,Fighting,physical,50,100,25,none,High critical hit ratio.,none
Kinesis,Psychic,status,none,80,15,none,Lowers opponent's Accuracy.,none
King's Shield,Steel,status,none,none,10,none,Protects the user and lowers opponent's Attack on contact.,none
Knock Off,Dark,physical,65,100,20,none,Removes opponent's held item for the rest of the battle.,none
Land's Wrath,Ground,physical,90,100,10,none,none,none
Laser Focus,Normal,status,none,none,30,none,User's next attack is guaranteed to result in a critical hit.,none
Lash Out,Dark,physical,75,100,5,none,Double power if stats were lowered during the turn.,none
Last Resort,Normal,physical,140,100,5,none,Can only be used after all other moves are used.,none
Lava Plume,Fire,special,80,100,15,none,May burn opponent.,30
Leaf Blade,Grass,physical,90,100,15,none,High critical hit ratio.,none
Leaf Storm,Grass,special,130,90,5,none,Sharply lowers user's Special Attack.,100
Leaf Tornado,Grass,special,65,90,10,none,May lower opponent's Accuracy.,50
Leafage,Grass,physical,40,100,40,none,Strikes opponent with leaves.,none
Leech Life,Bug,physical,80,100,10,none,User recovers half the HP inflicted on opponent.,none
Leech Seed,Grass,status,none,90,10,none,Drains HP from opponent each turn.,none
Leer,Normal,status,none,100,30,none,Lowers opponent's Defense.,100
Let's Snuggle Forever,Fairy,physical,190,none,1,none,Mimikyu-exclusive Z-Move.,none
Lick,Ghost,physical,30,100,30,none,May paralyze opponent.,30
Life Dew,Water,status,none,none,10,none,User and teammates recover HP.,none
Light of Ruin,Fairy,special,140,90,5,none,User receives recoil damage.,none
Light Screen,Psychic,status,none,none,30,TM17,Halves damage from Special attacks for 5 turns.,none
Light That Burns the Sky,Psychic,special,200,none,1,none,Ultra Necrozma-exclusive Z-Move. Ignores target's ability; uses highest Attack stat.,none
Liquidation,Water,physical,85,100,10,none,May lower opponent's Defense.,20
Lock-On,Normal,status,none,none,5,none,User's next attack is guaranteed to hit.,none
Lovely Kiss,Normal,status,none,75,10,none,Puts opponent to sleep.,none
Low Kick,Fighting,physical,none,100,20,none,"The heavier the opponent, the stronger the attack.",none
Low Sweep,Fighting,physical,65,100,20,TM75,Lowers opponent's Speed.,100
Lucky Chant,Normal,status,none,none,30,none,Opponent cannot land critical hits for 5 turns.,none
Lunar Dance,Psychic,status,none,none,10,none,The user faints but the next Pokémon released is fully healed.,none
Lunge,Bug,physical,80,100,15,none,"The user makes a lunge at the target, attacking with full force. This also lowers the target's Attack stat.",100
Luster Purge,Psychic,special,70,100,5,none,May lower opponent's Special Defense.,50
Mach Punch,Fighting,physical,40,100,30,none,User attacks first.,none
Magic Coat,Psychic,status,none,none,15,none,Reflects moves that cause status conditions back to the attacker.,none
Magic Powder,Psychic,status,none,100,20,none,Changes target's type to Psychic.,none
Magic Room,Psychic,status,none,none,10,TM72,Suppresses the effects of held items for five turns.,none
Magical Leaf,Grass,special,60,∞,20,TM10,Ignores Accuracy and Evasiveness.,none
Magma Storm,Fire,special,100,75,5,none,"Traps opponent, damaging them for 4-5 turns.",100
Magnet Bomb,Steel,physical,60,∞,20,none,Ignores Accuracy and Evasiveness.,none
Magnet Rise,Electric,status,none,none,10,none,User becomes immune to Ground-type moves for 5 turns.,none
Magnetic Flux,Electric,status,none,none,20,none,Raises Defense and Sp. Defense of Plus/Minus Pokémon.,none
Magnitude,Ground,physical,none,100,30,none,Hits with random power.,none
Malicious Moonsault,Dark,physical,180,none,1,none,Incineroar-exclusive Z-Move.,none
Mat Block,Fighting,status,none,none,10,none,Protects teammates from damaging moves.,none
Max Airstream,Flying,none,none,none,none,none,Flying type Dynamax move. Raises the team's Speed.,100
Max Darkness,Dark,none,none,none,none,none,Dark type Dynamax move. Lowers the target's Special Defense.,100
Max Flare,Fire,none,none,none,none,none,Fire type Dynamax move. Summons harsh sunlight.,none
Max Flutterby,Bug,none,none,none,none,none,Bug type Dynamax move. Lowers the target's Special Attack.,100
Max Geyser,Water,none,none,none,none,none,Water type Dynamax move. Summons heavy rain.,none
Max Guard,Normal,none,none,none,none,none,Status category Dynamax move. Protects the user.,none
Max Hailstorm,Ice,none,none,none,none,none,Ice type Dynamax move. Summons hail.,none
Max Knuckle,Fighting,none,none,none,none,none,Fighting type Dynamax move. Increases the team's Attack.,100
Max Lightning,Electric,none,none,none,none,none,Electric type Dynamax move. Summons Electric Terrain.,none
Max Mindstorm,Psychic,none,none,none,none,none,Psychic type Dynamax move. Summons Psychic Terrain.,none
Max Ooze,Poison,none,none,none,none,none,Poison type Dynamax move. Increases the team's Special Attack.,100
Max Overgrowth,Grass,none,none,none,none,none,Grass type Dynamax move. Summons Grassy Terrain.,none
Max Phantasm,Ghost,none,none,none,none,none,Ghost type Dynamax move. Lowers the target's Defense.,100
Max Quake,Ground,none,none,none,none,none,Ground type Dynamax move. Increases the team's Special Defense.,100
Max Rockfall,Rock,none,none,none,none,none,Rock type Dynamax move. Summons a sandstorm.,none
Max Starfall,Fairy,none,none,none,none,none,Fairy type Dynamax move. Summons Misty Terrain.,none
Max Steelspike,Steel,none,none,none,none,none,Steel type Dynamax move. Raises the team's Defense.,100
Max Strike,Normal,none,none,none,none,none,Normal type Dynamax move. Lowers the target's Speed.,100
Max Wyrmwind,Dragon,none,none,none,none,none,Dragon type Dynamax move. Lowers the target's Attack.,100
Me First,Normal,status,none,none,20,none,User copies the opponent's attack with 1.5× power.,none
Mean Look,Normal,status,none,none,5,none,Opponent cannot flee or switch.,none
Meditate,Psychic,status,none,none,40,none,Raises user's Attack.,none
Mega Drain,Grass,special,40,100,15,none,User recovers half the HP inflicted on opponent.,none
Mega Kick,Normal,physical,120,75,5,TM01,none,none
Mega Punch,Normal,physical,80,85,20,none,none,none
Megahorn,Bug,physical,120,85,10,none,none,none
Memento,Dark,status,none,100,10,none,"User faints, sharply lowers opponent's Attack and Special Attack.",none
Menacing Moonraze Maelstrom,Ghost,special,200,none,1,none,Lunala-exclusive Z-Move.,none
Metal Burst,Steel,physical,none,100,10,none,Deals damage equal to 1.5x opponent's attack.,none
Metal Claw,Steel,physical,50,95,35,none,May raise user's Attack.,10
Metal Sound,Steel,status,none,85,40,none,Sharply lowers opponent's Special Defense.,none
Meteor Assault,Fighting,physical,150,100,5,none,User must recharge next turn.,none
Meteor Beam,Rock,special,120,90,10,none,"User gathers space power and boosts its Sp. Atk stat, then attacks the target on the next turn.",none
Meteor Mash,Steel,physical,90,90,10,none,May raise user's Attack.,20
Metronome,Normal,status,none,none,10,none,User performs almost any move in the game at random.,none
Milk Drink,Normal,status,none,none,10,none,User recovers half its max HP.,none
Mimic,Normal,status,none,none,10,none,Copies the opponent's last move.,none
Mind Blown,Fire,special,150,100,5,none,User receives recoil damage.,none
Mind Reader,Normal,status,none,none,5,none,User's next attack is guaranteed to hit.,none
Minimize,Normal,status,none,none,10,none,Sharply raises user's Evasiveness.,none
Miracle Eye,Psychic,status,none,none,40,none,"Resets opponent's Evasiveness, removes Dark's Psychic immunity.",none
Mirror Coat,Psychic,special,none,100,20,none,"When hit by a Special Attack, user strikes back with 2x power.",none
Mirror Move,Flying,status,none,none,20,none,User performs the opponent's last move.,none
Mirror Shot,Steel,special,65,85,10,none,May lower opponent's Accuracy.,30
Mist,Ice,status,none,none,30,none,User's stats cannot be changed for a period of time.,none
Mist Ball,Psychic,special,70,100,5,none,May lower opponent's Special Attack.,50
Misty Explosion,Fairy,special,100,100,5,none,Power increases on Misty Terrain.,none
Misty Terrain,Fairy,status,none,none,10,TM89,Protects the field from status conditions for 5 turns.,none
Moonblast,Fairy,special,95,100,15,none,May lower opponent's Special Attack.,30
Moongeist Beam,Ghost,special,100,100,5,none,Ignores the target's ability.,none
Moonlight,Fairy,status,none,none,5,none,User recovers HP. Amount varies with the weather.,none
Morning Sun,Normal,status,none,none,5,none,User recovers HP. Amount varies with the weather.,none
Mud Bomb,Ground,special,65,85,10,none,May lower opponent's Accuracy.,30
Mud Shot,Ground,special,55,95,15,TM53,Lowers opponent's Speed.,100
Mud Sport,Ground,status,none,none,15,none,Weakens the power of Electric-type moves.,none
Mud-Slap,Ground,special,20,100,10,none,Lowers opponent's Accuracy.,100
Muddy Water,Water,special,90,85,10,none,May lower opponent's Accuracy.,30
Multi-Attack,Normal,physical,120,100,10,none,Type matches Memory item held.,none
Mystical Fire,Fire,special,75,100,10,TM92,Lowers opponent's Special Attack.,100
Nasty Plot,Dark,status,none,none,20,none,Sharply raises user's Special Attack.,none
Natural Gift,Normal,physical,none,100,15,none,Power and type depend on the user's held berry.,none
Nature Power,Normal,status,none,none,20,none,Uses a certain move based on the current terrain.,none
Nature's Madness,Fairy,special,none,90,10,none,Halves the foe's HP.,none
Needle Arm,Grass,physical,60,100,15,none,May cause flinching.,30
Never-Ending Nightmare,Ghost,none,none,none,1,none,Ghost type Z-Move.,none
Night Daze,Dark,special,85,95,10,none,May lower opponent's Accuracy.,40
Night Shade,Ghost,special,none,100,15,none,Inflicts damage equal to user's level.,none
Night Slash,Dark,physical,70,100,15,none,High critical hit ratio.,none
Nightmare,Ghost,status,none,100,15,none,The sleeping opponent loses 25% of its max HP each turn.,none
No Retreat,Fighting,status,none,none,5,none,Raises all stats but user cannot switch out.,100
Noble Roar,Normal,status,none,100,30,none,Lowers opponent's Attack and Special Attack.,100
Nuzzle,Electric,physical,20,100,20,none,Paralyzes opponent.,100
Oblivion Wing,Flying,special,80,100,10,none,User recovers most of the HP inflicted on opponent.,none
Obstruct,Dark,status,none,100,10,none,Protects the user and sharply lowers Defence on contact.,none
Oceanic Operetta,Water,special,195,none,1,none,Primarina-exclusive Z-Move.,none
Octazooka,Water,special,65,85,10,none,May lower opponent's Accuracy.,50
Octolock,Fighting,status,none,100,15,none,"Lowers opponent's Defense and Special Defense every turn, and they cannot flee or switch out.",none
Odor Sleuth,Normal,status,none,none,40,none,"Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal.",none
Ominous Wind,Ghost,special,60,100,5,none,May raise all user's stats at once.,10
Origin Pulse,Water,special,110,85,10,none,Hits all adjacent opponents.,none
Outrage,Dragon,physical,120,100,10,none,User attacks for 2-3 turns but then becomes confused.,none
Overdrive,Electric,special,80,100,10,none,none,none
Overheat,Fire,special,130,90,5,none,Sharply lowers user's Special Attack.,100
Pain Split,Normal,status,none,none,20,none,The user's and opponent's HP becomes the average of both.,none
Parabolic Charge,Electric,special,65,100,20,none,User recovers half the HP inflicted on opponent.,none
Parting Shot,Dark,status,none,100,20,none,Lowers opponent's Attack and Special Attack then switches out. ,100
Pay Day,Normal,physical,40,100,20,TM02,A small amount of money is gained after the battle resolves.,none
Payback,Dark,physical,50,100,10,TM57,Power doubles if the user was attacked first.,none
Peck,Flying,physical,35,100,35,none,none,none
Perish Song,Normal,status,none,none,5,none,Any Pokémon in play when this attack is used faints in 3 turns.,none
Petal Blizzard,Grass,physical,90,100,15,none,Hits all adjacent Pokémon.,none
Petal Dance,Grass,special,120,100,10,none,User attacks for 2-3 turns but then becomes confused.,none
Phantom Force,Ghost,physical,90,100,10,TM86,"Disappears on first turn, attacks on second. Can strike through Protect/Detect.",none
Photon Geyser,Psychic,special,100,100,5,none,"Uses Attack or Special Attack stat, whichever is higher.",none
Pika Papow,Electric,special,none,∞,20,none,Power increases when player's bond is stronger.,none
Pin Missile,Bug,physical,25,95,20,TM07,Hits 2-5 times in one turn.,none
Plasma Fists,Electric,physical,100,100,15,none,Changes Normal-type moves to Electric-type moves.,none
Play Nice,Normal,status,none,none,20,none,Lowers opponent's Attack. Always hits.,100
Play Rough,Fairy,physical,90,90,10,none,May lower opponent's Attack.,10
Pluck,Flying,physical,60,100,20,none,"If the opponent is holding a berry, its effect is stolen by user.",none
Poison Fang,Poison,physical,50,100,15,none,May badly poison opponent.,50
Poison Gas,Poison,status,none,90,40,none,Poisons opponent.,none
Poison Jab,Poison,physical,80,100,20,none,May poison the opponent.,30
Poison Powder,Poison,status,none,75,35,none,Poisons opponent.,none
Poison Sting,Poison,physical,15,100,35,none,May poison the opponent.,30
Poison Tail,Poison,physical,50,100,25,none,High critical hit ratio. May poison opponent.,10
Pollen Puff,Bug,special,90,100,15,none,Deals damage to opponent or restores HP of teammate.,none
Poltergeist,Ghost,physical,110,90,5,none,Fails if the target doesn’t have an item.,none
Pound,Normal,physical,40,100,35,none,none,none
Powder,Bug,status,none,100,20,none,Damages Pokémon using Fire type moves.,none
Powder Snow,Ice,special,40,100,25,none,May freeze opponent.,10
Power Gem,Rock,special,80,100,20,none,none,none
Power Split,Psychic,status,none,none,10,none,Averages Attack and Special Attack with the target.,none
Power Swap,Psychic,status,none,none,10,TM60,User and opponent swap Attack and Special Attack.,none
Power Trick,Psychic,status,none,none,10,none,User's own Attack and Defense switch.,none
Power Trip,Dark,physical,20,100,10,none,"The user boasts its strength and attacks the target. The more the user's stats are raised, the greater the move's power.",none
Power Whip,Grass,physical,120,85,10,none,none,none
